"method","coverage","avg_width","median_width","lower_zero_rate","p","n","rho","rho_default","deff","n_eff","model"
"Agresti_Coull",0.4218,0.000389299884466052,0.000385708479026,0,0.001,1e+05,0.01,0,1,1e+05,"vasicek_eff_n"
"Clopper_Pearson",0.4287,0.000396051660191839,0.000392530390140354,0,0.001,1e+05,0.01,0,1,1e+05,"vasicek_eff_n"
"Wald",0.4126,0.000385392320912765,0.000381885792512565,0,0.001,1e+05,0.01,0,1,1e+05,"vasicek_eff_n"
"Wilson",0.4218,0.000387348062100033,0.000383798282785125,0,0.001,1e+05,0.01,0,1,1e+05,"vasicek_eff_n"
"Agresti_Coull",0.9173,0.00497883994738274,0.00494907018665738,0,0.005,1e+05,0.01,0.000287402232391379,29.7399358369056,3362.48203588609,"vasicek_eff_n"
"Clopper_Pearson",0.9266,0.00505490055888682,0.00502799345182694,0,0.005,1e+05,0.01,0.000287402232391379,29.7399358369056,3362.48203588609,"vasicek_eff_n"
"Wald",0.8861,0.00471292972668045,0.00468673397813704,0,0.005,1e+05,0.01,0.000287402232391379,29.7399358369056,3362.48203588609,"vasicek_eff_n"
"Wilson",0.9097,0.00484663360568314,0.0048184625539231,0,0.005,1e+05,0.01,0.000287402232391379,29.7399358369056,3362.48203588609,"vasicek_eff_n"
"Agresti_Coull",0.9916,0.0169134562589983,0.0168103350873426,0,0.01,1e+05,0.01,0.00148883639958477,149.882151122077,667.190851287899,"vasicek_eff_n"
"Clopper_Pearson",0.9959,0.0167801641079788,0.0166877220696946,0,0.01,1e+05,0.01,0.00148883639958477,149.882151122077,667.190851287899,"vasicek_eff_n"
"Wald",0.9937,0.0149470911816565,0.0148662186557055,0.029,0.01,1e+05,0.01,0.00148883639958477,149.882151122077,667.190851287899,"vasicek_eff_n"
"Wilson",0.9897,0.0159488618829445,0.0158509786486952,0,0.01,1e+05,0.01,0.00148883639958477,149.882151122077,667.190851287899,"vasicek_eff_n"
"Agresti_Coull",0.7582,0.0111741380896664,0.0111285434444735,0,0.02,1e+05,0.01,0.000398213094975273,40.8209112844323,2449.72483106071,"vasicek_eff_n"
"Clopper_Pearson",0.7665,0.0114130743005545,0.0113692023944354,0,0.02,1e+05,0.01,0.000398213094975273,40.8209112844323,2449.72483106071,"vasicek_eff_n"
"Wald",0.7351,0.0109754009548496,0.010931887050679,0,0.02,1e+05,0.01,0.000398213094975273,40.8209112844323,2449.72483106071,"vasicek_eff_n"
"Wilson",0.754,0.0110710712202226,0.0110264924773081,0,0.02,1e+05,0.01,0.000398213094975273,40.8209112844323,2449.72483106071,"vasicek_eff_n"
"Agresti_Coull",0.958,0.0417413570273123,0.0416509103705668,0,0.05,1e+05,0.01,0.00225596632526884,226.594376560558,441.317218537745,"vasicek_eff_n"
"Clopper_Pearson",0.9655,0.0428295299867602,0.0427482064504391,0,0.05,1e+05,0.01,0.00225596632526884,226.594376560558,441.317218537745,"vasicek_eff_n"
"Wald",0.9455,0.0404314991285082,0.0403521798011424,0,0.05,1e+05,0.01,0.00225596632526884,226.594376560558,441.317218537745,"vasicek_eff_n"
"Wilson",0.9541,0.0410093223521421,0.0409241242071785,0,0.05,1e+05,0.01,0.00225596632526884,226.594376560558,441.317218537745,"vasicek_eff_n"
"Agresti_Coull",0.9874,0.00680905845163307,0.00650771327380231,0.9178,0.001,1e+05,0.05,0.00112607417492173,113.606291417998,880.232940903458,"vasicek_eff_n"
