"model","method","p","n","rho","B","coverage","avg_width","median_width","lower_zero_rate","mean_p_hat","sd_p_hat","mean_defaults","sd_defaults"
"vasicek","Clopper_Pearson",0.001,10000,0.05,10000,0.6299,0.00126183949632603,0.00123026262836937,0.0242,0.00100571,0.000911522618067333,10.0571,9.11522618067333
"vasicek","Wilson",0.001,10000,0.05,10000,0.6131,0.00121002701529044,0.00117251653348975,0.0242,0.00100571,0.000911522618067333,10.0571,9.11522618067333
"vasicek","Agresti_Coull",0.001,10000,0.05,10000,0.6131,0.00127376159592185,0.00123358090571349,0.0732,0.00100571,0.000911522618067333,10.0571,9.11522618067333
"vasicek","Wald",0.001,10000,0.1,10000,0.349,0.00100954640350067,0.000876303382543258,0.3646,0.00099794,0.00139013920349744,9.9794,13.9013920349744
"vasicek","Clopper_Pearson",0.001,10000,0.1,10000,0.478,0.00117911793331745,0.00100407627486775,0.0838,0.00099794,0.00139013920349744,9.9794,13.9013920349744
"vasicek","Wilson",0.001,10000,0.1,10000,0.463,0.00113563790268461,0.000956437519978267,0.0838,0.00099794,0.00139013920349744,9.9794,13.9013920349744
"vasicek","Agresti_Coull",0.001,10000,0.1,10000,0.463,0.00120265094118074,0.00103047377796174,0.19,0.00099794,0.00139013920349744,9.9794,13.9013920349744
"vasicek","Wald",0.001,10000,0.2,10000,0.2159,0.000834350386811059,0.000639424795045143,0.5514,0.00102153,0.00253825013158141,10.2153,25.3825013158141
"vasicek","Clopper_Pearson",0.001,10000,0.2,10000,0.3032,0.00104872557556397,0.000814603036765614,0.252,0.00102153,0.00253825013158141,10.2153,25.3825013158141
"vasicek","Wilson",0.001,10000,0.2,10000,0.2959,0.00101862262554925,0.000779703572818569,0.252,0.00102153,0.00253825013158141,10.2153,25.3825013158141
"vasicek","Agresti_Coull",0.001,10000,0.2,10000,0.2959,0.00108885093427612,0.000868998828006601,0.3853,0.00102153,0.00253825013158141,10.2153,25.3825013158141
"vasicek","Wald",0.001,10000,0.25,10000,0.1774,0.000742580769443405,0.000477153045407406,0.6197,0.00098292,0.00306976100321535,9.8292,30.6976100321535
"vasicek","Clopper_Pearson",0.001,10000,0.25,10000,0.2485,0.000977119947792266,0.000698058212083286,0.3377,0.00098292,0.00306976100321535,9.8292,30.6976100321535
"vasicek","Wilson",0.001,10000,0.25,10000,0.2415,0.000953015652553477,0.000674146916686609,0.3377,0.00098292,0.00306976100321535,9.8292,30.6976100321535
"vasicek","Agresti_Coull",0.001,10000,0.25,10000,0.2415,0.00102430154470597,0.000775728236342961,0.4767,0.00098292,0.00306976100321535,9.8292,30.6976100321535
"independent","Wald",0.001,25000,0,10000,0.9432,0.000778327807769112,0.000783593502971885,0,0.000996952,0.000201577511258832,24.9238,5.0394377814708
"independent","Clopper_Pearson",0.001,25000,0,10000,0.9531,0.00082342031135318,0.00082859721841772,0,0.000996952,0.000201577511258832,24.9238,5.0394377814708
"independent","Wilson",0.001,25000,0,10000,0.941,0.000793384152661764,0.000798394487831967,0,0.000996952,0.000201577511258832,24.9238,5.0394377814708
"independent","Agresti_Coull",0.001,25000,0,10000,0.941,0.000808203499630607,0.000812981833297822,0,0.000996952,0.000201577511258832,24.9238,5.0394377814708
"vasicek","Wald",0.001,25000,0.01,10000,0.6879,0.000768495521018932,0.0007677770696672,7e-04,0.000999648,0.000392326277588959,24.9912,9.80815693972397
"vasicek","Clopper_Pearson",0.001,25000,0.01,10000,0.7037,0.000813827801197262,0.000812885424546059,0,0.000999648,0.000392326277588959,24.9912,9.80815693972397
"vasicek","Wilson",0.001,25000,0.01,10000,0.6837,0.000784212023050037,0.000782881950197891,0,0.000999648,0.000392326277588959,24.9912,9.80815693972397
"vasicek","Agresti_Coull",0.001,25000,0.01,10000,0.6837,0.00079960627303016,0.000797755363264894,0,0.000999648,0.000392326277588959,24.9912,9.80815693972397
"vasicek","Wald",0.001,25000,0.05,10000,0.3653,0.000719259685576244,0.000683203030100154,0.0401,0.000990384,0.000866057999322112,24.7596,21.6514499830528
"vasicek","Clopper_Pearson",0.001,25000,0.05,10000,0.3838,0.000766955666780795,0.000728951139285906,0.0028,0.000990384,0.000866057999322112,24.7596,21.6514499830528
"vasicek","Wilson",0.001,25000,0.05,10000,0.3735,0.000739478334715832,0.000700161840814199,0.0028,0.000990384,0.000866057999322112,24.7596,21.6514499830528
"vasicek","Agresti_Coull",0.001,25000,0.05,10000,0.3735,0.000757498891490644,0.00071676699319788,0.0087,0.000990384,0.000866057999322112,24.7596,21.6514499830528
"vasicek","Wald",0.001,25000,0.1,10000,0.2394,0.00066969230980527,0.000586516803933533,0.1473,0.00102372,0.00144349009278374,25.593,36.0872523195934
"vasicek","Clopper_Pearson",0.001,25000,0.1,10000,0.2537,0.000723398016896186,0.000633216565208571,0.0222,0.00102372,0.00144349009278374,25.593,36.0872523195934
"vasicek","Wilson",0.001,25000,0.1,10000,0.2454,0.000698842211079631,0.000606217702771523,0.0222,0.00102372,0.00144349009278374,25.593,36.0872523195934
"vasicek","Agresti_Coull",0.001,25000,0.1,10000,0.2454,0.000719399218854692,0.000625337570792402,0.0609,0.00102372,0.00144349009278374,25.593,36.0872523195934
