"method","p","n","rho","width_vasicek","width_ind","width_diff"
"Wald",0.001,50000,0.05,0.000512856563626251,0.000552006014947609,-3.91494513213579e-05
"Wilson",0.001,50000,0.05,0.000519652137452369,0.00055731125545892,-3.76591180065509e-05
"Agresti_Coull",0.001,50000,0.1,0.000490879487578878,0.000562585829631027,-7.17063420521489e-05
"Clopper_Pearson",0.001,50000,0.1,0.00049728687043005,0.000573795725978986,-7.6508855548936e-05
"Wald",0.001,50000,0.1,0.000473257657982529,0.000552006014947609,-7.874835696508e-05
"Wilson",0.001,50000,0.1,0.000482940400709476,0.00055731125545892,-7.43708547494439e-05
"Agresti_Coull",0.001,50000,0.2,0.000424897009066031,0.000562585829631027,-0.000137688820564996
"Clopper_Pearson",0.001,50000,0.2,0.000425931329901089,0.000573795725978986,-0.000147864396077897
"Wald",0.001,50000,0.2,0.000395307637767763,0.000552006014947609,-0.000156698377179846
"Wilson",0.001,50000,0.2,0.000414606730800934,0.00055731125545892,-0.000142704524657986
"Agresti_Coull",0.001,50000,0.25,0.000388183185785915,0.000562585829631027,-0.000174402643845112
"Clopper_Pearson",0.001,50000,0.25,0.000386396187344718,0.000573795725978986,-0.000187399538634268
"Wald",0.001,50000,0.25,0.000350905453168702,0.000552006014947609,-0.000201100561778907
"Wilson",0.001,50000,0.25,0.00037690571948028,0.00055731125545892,-0.00018040553597864
"Agresti_Coull",0.001,1e+05,0.01,0.000389401349714871,0.000395312162725397,-5.91081301052601e-06
"Clopper_Pearson",0.001,1e+05,0.01,0.000396153589482572,0.000402204890515111,-6.05130103253898e-06
"Wald",0.001,1e+05,0.01,0.00038549433842746,0.000391574960759376,-6.08062233191598e-06
"Wilson",0.001,1e+05,0.01,0.000387449813453582,0.000393444337877383,-5.99452442380099e-06
"Agresti_Coull",0.001,1e+05,0.05,0.000368450427489368,0.000395312162725397,-2.6861735236029e-05
"Clopper_Pearson",0.001,1e+05,0.05,0.00037455864320867,0.000402204890515111,-2.7646247306441e-05
"Wald",0.001,1e+05,0.05,0.00036375615139083,0.000391574960759376,-2.7818809368546e-05
"Wilson",0.001,1e+05,0.05,0.000366118233312771,0.000393444337877383,-2.7326104564612e-05
"Agresti_Coull",0.001,1e+05,0.1,0.000343438783902528,0.000395312162725397,-5.1873378822869e-05
"Clopper_Pearson",0.001,1e+05,0.1,0.000348435866129487,0.000402204890515111,-5.3769024385624e-05
"Wald",0.001,1e+05,0.1,0.000337208737179931,0.000391574960759376,-5.4366223579445e-05
"Wilson",0.001,1e+05,0.1,0.000340476527208246,0.000393444337877383,-5.2967810669137e-05
"Agresti_Coull",0.001,1e+05,0.2,0.000294530181973842,0.000395312162725397,-0.000100781980751555
"Clopper_Pearson",0.001,1e+05,0.2,0.000296990702465327,0.000402204890515111,-0.000105214188049784
"Wald",0.001,1e+05,0.2,0.000283389075502135,0.000391574960759376,-0.000108185885257241
"Wilson",0.001,1e+05,0.2,0.000290344700366047,0.000393444337877383,-0.000103099637511336
"Agresti_Coull",0.001,1e+05,0.25,0.000268902997188753,0.000395312162725397,-0.000126409165536644
"Clopper_Pearson",0.001,1e+05,0.25,0.000269927653609828,0.000402204890515111,-0.000132277236905283
"Wald",0.001,1e+05,0.25,0.000254433139569486,0.000391574960759376,-0.00013714182118989
"Wilson",0.001,1e+05,0.25,0.000264115251419786,0.000393444337877383,-0.000129329086457597
"Agresti_Coull",0.005,5000,0.01,0.00399297163468664,0.0040360220716454,-4.30504369587602e-05
"Clopper_Pearson",0.005,5000,0.01,0.00406746788099138,0.00411448959997559,-4.70217189842102e-05
"Wald",0.005,5000,0.01,0.00384233113249679,0.00389027469464855,-4.794356215176e-05
"Wilson",0.005,5000,0.01,0.0039177952335235,0.00396314386634593,-4.53486328224296e-05
"Agresti_Coull",0.005,5000,0.05,0.00382819295979767,0.0040360220716454,-0.00020782911184773
"Clopper_Pearson",0.005,5000,0.05,0.00388475351707937,0.00411448959997559,-0.00022973608289622
"Wald",0.005,5000,0.05,0.00365218094273835,0.00389027469464855,-0.0002380937519102
