"model","method","p","n","rho","avg_width","median_width"
"independent","Agresti_Coull",0.02,50000,0,0.00245617792987496,0.00245638402969806
"independent","Clopper_Pearson",0.02,50000,0,0.00247437023021452,0.00247457698232622
"independent","Wald",0.02,50000,0,0.00245405622418195,0.00245426311361443
"independent","Wilson",0.02,50000,0,0.00245507023682232,0.00245527672698763
"independent","Agresti_Coull",0.02,1e+05,0,0.00173613861718981,0.00173617618338975
"independent","Clopper_Pearson",0.02,1e+05,0,0.00174549952561589,0.00174553719134671
"independent","Wald",0.02,1e+05,0,0.00173538840406075,0.00173542609045278
"independent","Wilson",0.02,1e+05,0,0.00173574689680993,0.00173578452270399
"independent","Agresti_Coull",0.05,5000,0,0.0121066936801868,0.0121168385496386
"independent","Clopper_Pearson",0.05,5000,0,0.0122754471347174,0.0122856692621788
"independent","Wald",0.05,5000,0,0.0120717892908024,0.0120820294316136
"independent","Wilson",0.05,5000,0,0.0120869480019364,0.0120971383494103
"independent","Agresti_Coull",0.05,10000,0,0.00855298053386397,0.00855561343547545
"independent","Clopper_Pearson",0.05,10000,0,0.00864194033156682,0.00864458482958824
"independent","Wald",0.05,10000,0,0.00854063779405561,0.0085432849415894
"independent","Wilson",0.05,10000,0,0.00854599339731999,0.00854863315243938
"independent","Agresti_Coull",0.05,25000,0,0.00540632845259306,0.00540637000296368
"independent","Clopper_Pearson",0.05,25000,0,0.005443537314824,0.00544357952134088
"independent","Wald",0.05,25000,0,0.00540320548103834,0.00540324782304823
"independent","Wilson",0.05,25000,0,0.00540455985454328,0.00540460179864281
"independent","Agresti_Coull",0.05,50000,0,0.00382144013854185,0.00382177742174086
"independent","Clopper_Pearson",0.05,50000,0,0.00384045341684667,0.00384079094764801
"independent","Wald",0.05,50000,0,0.00382033558773252,0.00382067317610885
"independent","Wilson",0.05,50000,0,0.00382081456433964,0.0038211519935832
"independent","Agresti_Coull",0.05,1e+05,0,0.00270184831683561,0.00270201438999859
"independent","Clopper_Pearson",0.05,1e+05,0,0.00271149954673661,0.00271166567330968
"independent","Wald",0.05,1e+05,0,0.00270145777231742,0.00270162391152411
"independent","Wilson",0.05,1e+05,0,0.00270162711478498,0.00270179321936827
