"model","method","p","n","rho","lower_zero_rate"
"vasicek","Agresti_Coull",0.001,10000,0.2,0.3853
"vasicek","Clopper_Pearson",0.001,10000,0.2,0.252
"vasicek","Wald",0.001,10000,0.2,0.5514
"vasicek","Wilson",0.001,10000,0.2,0.252
"vasicek","Agresti_Coull",0.001,10000,0.25,0.4767
"vasicek","Clopper_Pearson",0.001,10000,0.25,0.3377
"vasicek","Wald",0.001,10000,0.25,0.6197
"vasicek","Wilson",0.001,10000,0.25,0.3377
"vasicek","Agresti_Coull",0.001,25000,0.01,0
"vasicek","Clopper_Pearson",0.001,25000,0.01,0
"vasicek","Wald",0.001,25000,0.01,7e-04
"vasicek","Wilson",0.001,25000,0.01,0
"vasicek","Agresti_Coull",0.001,25000,0.05,0.0087
"vasicek","Clopper_Pearson",0.001,25000,0.05,0.0028
"vasicek","Wald",0.001,25000,0.05,0.0401
"vasicek","Wilson",0.001,25000,0.05,0.0028
"vasicek","Agresti_Coull",0.001,25000,0.1,0.0609
"vasicek","Clopper_Pearson",0.001,25000,0.1,0.0222
"vasicek","Wald",0.001,25000,0.1,0.1473
"vasicek","Wilson",0.001,25000,0.1,0.0222
"vasicek","Agresti_Coull",0.001,25000,0.2,0.2422
"vasicek","Clopper_Pearson",0.001,25000,0.2,0.1404
"vasicek","Wald",0.001,25000,0.2,0.3719
"vasicek","Wilson",0.001,25000,0.2,0.1404
"vasicek","Agresti_Coull",0.001,25000,0.25,0.3224
"vasicek","Clopper_Pearson",0.001,25000,0.25,0.2132
"vasicek","Wald",0.001,25000,0.25,0.4554
"vasicek","Wilson",0.001,25000,0.25,0.2132
"vasicek","Agresti_Coull",0.001,50000,0.01,0
"vasicek","Clopper_Pearson",0.001,50000,0.01,0
"vasicek","Wald",0.001,50000,0.01,0
"vasicek","Wilson",0.001,50000,0.01,0
"vasicek","Agresti_Coull",0.001,50000,0.05,0.0012
"vasicek","Clopper_Pearson",0.001,50000,0.05,4e-04
"vasicek","Wald",0.001,50000,0.05,0.0066
"vasicek","Wilson",0.001,50000,0.05,4e-04
"vasicek","Agresti_Coull",0.001,50000,0.1,0.0218
"vasicek","Clopper_Pearson",0.001,50000,0.1,0.0076
"vasicek","Wald",0.001,50000,0.1,0.0612
"vasicek","Wilson",0.001,50000,0.1,0.0076
"vasicek","Agresti_Coull",0.001,50000,0.2,0.1458
"vasicek","Clopper_Pearson",0.001,50000,0.2,0.082
"vasicek","Wald",0.001,50000,0.2,0.2479
"vasicek","Wilson",0.001,50000,0.2,0.082
"vasicek","Agresti_Coull",0.001,50000,0.25,0.2487
"vasicek","Clopper_Pearson",0.001,50000,0.25,0.1577
"vasicek","Wald",0.001,50000,0.25,0.3629
"vasicek","Wilson",0.001,50000,0.25,0.1577
"vasicek","Agresti_Coull",0.001,1e+05,0.01,0
"vasicek","Clopper_Pearson",0.001,1e+05,0.01,0
"vasicek","Wald",0.001,1e+05,0.01,0
"vasicek","Wilson",0.001,1e+05,0.01,0
"vasicek","Agresti_Coull",0.001,1e+05,0.05,2e-04
"vasicek","Clopper_Pearson",0.001,1e+05,0.05,1e-04
"vasicek","Wald",0.001,1e+05,0.05,8e-04
"vasicek","Wilson",0.001,1e+05,0.05,1e-04
"vasicek","Agresti_Coull",0.001,1e+05,0.1,0.0067
"vasicek","Clopper_Pearson",0.001,1e+05,0.1,0.0021
"vasicek","Wald",0.001,1e+05,0.1,0.0211
"vasicek","Wilson",0.001,1e+05,0.1,0.0021
"vasicek","Agresti_Coull",0.001,1e+05,0.2,0.0893
"vasicek","Clopper_Pearson",0.001,1e+05,0.2,0.0488
"vasicek","Wald",0.001,1e+05,0.2,0.1533
"vasicek","Wilson",0.001,1e+05,0.2,0.0488
"vasicek","Agresti_Coull",0.001,1e+05,0.25,0.1628
"vasicek","Clopper_Pearson",0.001,1e+05,0.25,0.1009
"vasicek","Wald",0.001,1e+05,0.25,0.2477
"vasicek","Wilson",0.001,1e+05,0.25,0.1009
"vasicek","Agresti_Coull",0.005,5000,0.01,0
"vasicek","Clopper_Pearson",0.005,5000,0.01,0
"vasicek","Wald",0.005,5000,0.01,1e-04
"vasicek","Wilson",0.005,5000,0.01,0
"vasicek","Agresti_Coull",0.005,5000,0.05,0.0038
"vasicek","Clopper_Pearson",0.005,5000,0.05,8e-04
"vasicek","Wald",0.005,5000,0.05,0.0226
"vasicek","Wilson",0.005,5000,0.05,0
"vasicek","Agresti_Coull",0.005,5000,0.1,0.0348
"vasicek","Clopper_Pearson",0.005,5000,0.1,0.0118
