"method","coverage","avg_width","median_width","lower_zero_rate","p","n","rho","rho_default","deff","n_eff","model"
"Agresti_Coull",0.8572,0.0013229841024047,0.00129419563423365,0.0064,0.001,10000,0.01,0,1,10000,"vasicek_eff_n"
"Clopper_Pearson",0.8808,0.00132240489716292,0.00129617247998892,9e-04,0.001,10000,0.01,0,1,10000,"vasicek_eff_n"
"Wald",0.7869,0.0011975747983647,0.00117544908132678,0.0519,0.001,10000,0.01,0,1,10000,"vasicek_eff_n"
"Wilson",0.8572,0.00126378681330547,0.00123615305243937,9e-04,0.001,10000,0.01,0,1,10000,"vasicek_eff_n"
"Agresti_Coull",0.9827,0.00852891508555849,0.00847297953457913,9e-04,0.005,10000,0.01,0.000656357154116132,7.5629151840072,1322.24145804866,"vasicek_eff_n"
"Clopper_Pearson",0.9874,0.00842841784329892,0.00838330747114457,0,0.005,10000,0.01,0.000656357154116132,7.5629151840072,1322.24145804866,"vasicek_eff_n"
"Wald",0.9712,0.00747675853282987,0.0074507244812402,0.0675,0.005,10000,0.01,0.000656357154116132,7.5629151840072,1322.24145804866,"vasicek_eff_n"
"Wilson",0.9782,0.00802446818959972,0.00797394848901546,0,0.005,10000,0.01,0.000656357154116132,7.5629151840072,1322.24145804866,"vasicek_eff_n"
"Agresti_Coull",0.9884,0.016313020144715,0.0162645541109324,1e-04,0.01,10000,0.01,0.00130916534869897,14.090344321641,709.705864649542,"vasicek_eff_n"
"Clopper_Pearson",0.9936,0.016225093263436,0.0161963737402455,0,0.01,10000,0.01,0.00130916534869897,14.090344321641,709.705864649542,"vasicek_eff_n"
"Wald",0.9829,0.0145079693847941,0.0144948387555899,0.0283,0.01,10000,0.01,0.00130916534869897,14.090344321641,709.705864649542,"vasicek_eff_n"
"Wilson",0.9846,0.0154273829904273,0.0153891999607961,0,0.01,10000,0.01,0.00130916534869897,14.090344321641,709.705864649542,"vasicek_eff_n"
"Agresti_Coull",0.9641,0.0221892515090139,0.0221013930903545,0,0.02,10000,0.01,0.0013727079602002,14.7257068940418,679.084547312708,"vasicek_eff_n"
"Clopper_Pearson",0.9718,0.0225427753476934,0.0224663904525423,0,0.02,10000,0.01,0.0013727079602002,14.7257068940418,679.084547312708,"vasicek_eff_n"
