"method","p","n","rho","coverage_vasicek","coverage_ind","coverage_drop"
"Wald",0.05,1e+05,0.05,0.0428,0.9507,0.9079
"Wilson",0.05,1e+05,0.05,0.0428,0.9518,0.909
"Agresti_Coull",0.05,1e+05,0.1,0.0259,0.9518,0.9259
"Clopper_Pearson",0.05,1e+05,0.1,0.0259,0.9522,0.9263
"Wald",0.05,1e+05,0.1,0.0254,0.9507,0.9253
"Wilson",0.05,1e+05,0.1,0.0259,0.9518,0.9259
"Agresti_Coull",0.05,1e+05,0.2,0.0222,0.9518,0.9296
"Clopper_Pearson",0.05,1e+05,0.2,0.0222,0.9522,0.93
"Wald",0.05,1e+05,0.2,0.0219,0.9507,0.9288
"Wilson",0.05,1e+05,0.2,0.0222,0.9518,0.9296
"Agresti_Coull",0.05,1e+05,0.25,0.0185,0.9518,0.9333
"Clopper_Pearson",0.05,1e+05,0.25,0.0185,0.9522,0.9337
"Wald",0.05,1e+05,0.25,0.0184,0.9507,0.9323
"Wilson",0.05,1e+05,0.25,0.0185,0.9518,0.9333
