"p","rho","Agresti_Coull","Clopper_Pearson","Wald","Wilson"
0.001,0.01,-1.885027180554e-05,-2.279177067929e-05,-2.649366739584e-05,-2.08902144246501e-05
0.001,0.1,-0.0001397797992995,-0.00016681176182782,-0.00021541571045081,-0.00014970043497197
0.001,0.25,-0.00031812919577427,-0.000368809747353004,-0.000482381344508075,-0.000332322685103103
0.01,0.01,-2.86818935334998e-05,-2.95102114672898e-05,-2.96858827540103e-05,-2.91743920182996e-05
0.01,0.1,-0.00034014904184994,-0.00035142939149433,-0.00035428484721751,-0.000346773161082749
0.01,0.25,-0.00084923336556011,-0.00088694173099127,-0.00091105087023905,-0.000869129971729869
0.05,0.01,-5.67426105635011e-05,-5.70031157363197e-05,-5.70623904692993e-05,-5.68966588871886e-05
0.05,0.1,-0.000506305260872921,-0.00050932481088148,-0.000509997669096559,-0.00050809511506519
0.05,0.25,-0.00130913370363389,-0.00132084163601301,-0.00132408732987935,-0.00131597045719577
