"model","p","n","rho","Wald","Clopper_Pearson","Wilson","Agresti_Coull"
"vasicek",0.01,500,0.2,0.3446,0.6109,0.5913,0.5913
"vasicek",0.01,500,0.25,0.2974,0.5616,0.546,0.546
"vasicek",0.01,1000,0.01,0.8399,0.9202,0.8998,0.8998
"vasicek",0.01,1000,0.05,0.5974,0.7248,0.7021,0.7021
"vasicek",0.01,1000,0.1,0.4536,0.5816,0.5618,0.5618
"vasicek",0.01,1000,0.2,0.301,0.3995,0.3894,0.3894
"vasicek",0.01,1000,0.25,0.2425,0.3384,0.3296,0.3296
"vasicek",0.01,2000,0.01,0.7943,0.8103,0.7871,0.7871
"vasicek",0.01,2000,0.05,0.4824,0.5098,0.4954,0.4954
"vasicek",0.01,2000,0.1,0.3537,0.3771,0.3664,0.3664
"vasicek",0.01,2000,0.2,0.2267,0.2419,0.2349,0.2349
"vasicek",0.01,2000,0.25,0.1893,0.2008,0.1956,0.1956
"vasicek",0.01,5000,0.01,0.6444,0.6549,0.641,0.641
"vasicek",0.01,5000,0.05,0.335,0.339,0.3301,0.3301
"vasicek",0.01,5000,0.1,0.2248,0.2316,0.2259,0.2259
"vasicek",0.01,5000,0.2,0.1377,0.1428,0.1403,0.1403
"vasicek",0.01,5000,0.25,0.1219,0.1267,0.1239,0.1239
"vasicek",0.01,10000,0.01,0.5008,0.522,0.512,0.512
"vasicek",0.01,10000,0.05,0.2329,0.2444,0.2397,0.2397
"vasicek",0.01,10000,0.1,0.1594,0.1656,0.1624,0.1624
"vasicek",0.01,10000,0.2,0.0985,0.1035,0.1018,0.1018
"vasicek",0.01,10000,0.25,0.087,0.0915,0.0904,0.0904
"vasicek",0.02,500,0.01,0.8583,0.93,0.912,0.912
"vasicek",0.02,500,0.05,0.6358,0.7604,0.7368,0.7368
"vasicek",0.02,500,0.1,0.4889,0.6097,0.59,0.59
"vasicek",0.02,500,0.2,0.3363,0.4454,0.4315,0.4315
"vasicek",0.02,500,0.25,0.2801,0.374,0.3613,0.3613
"vasicek",0.02,1000,0.01,0.8145,0.8358,0.8136,0.8136
"vasicek",0.02,1000,0.05,0.5308,0.5597,0.5401,0.5401
"vasicek",0.02,1000,0.1,0.3921,0.4097,0.3963,0.3963
"vasicek",0.02,1000,0.2,0.2534,0.2689,0.2603,0.2603
"vasicek",0.02,1000,0.25,0.2212,0.2358,0.2261,0.2261
"vasicek",0.02,2000,0.01,0.7109,0.7421,0.7283,0.7283
"vasicek",0.02,2000,0.05,0.3883,0.4216,0.4102,0.4102
"vasicek",0.02,2000,0.1,0.2751,0.2998,0.2922,0.2922
"vasicek",0.02,2000,0.2,0.1772,0.1905,0.1867,0.1867
"vasicek",0.02,2000,0.25,0.1453,0.1586,0.1541,0.1541
"vasicek",0.02,5000,0.01,0.54,0.5568,0.5461,0.5461
"vasicek",0.02,5000,0.05,0.257,0.2668,0.2603,0.2603
"vasicek",0.02,5000,0.1,0.1773,0.1854,0.1827,0.1827
"vasicek",0.02,5000,0.2,0.1095,0.1144,0.1125,0.1125
"vasicek",0.02,5000,0.25,0.0925,0.0975,0.0951,0.0951
"vasicek",0.02,10000,0.01,0.4071,0.4174,0.411,0.411
"vasicek",0.02,10000,0.05,0.1911,0.1952,0.1932,0.1932
"vasicek",0.02,10000,0.1,0.1263,0.1299,0.1286,0.1286
"vasicek",0.02,10000,0.2,0.0789,0.0801,0.0787,0.0787
"vasicek",0.02,10000,0.25,0.0654,0.0674,0.0664,0.0664
"vasicek",0.05,500,0.01,0.7902,0.8434,0.8239,0.8239
"vasicek",0.05,500,0.05,0.5225,0.5773,0.5586,0.5586
"vasicek",0.05,500,0.1,0.3739,0.4188,0.4047,0.4047
"vasicek",0.05,500,0.2,0.2655,0.2978,0.2888,0.2888
"vasicek",0.05,500,0.25,0.2187,0.2484,0.2404,0.2404
"vasicek",0.05,1000,0.01,0.709,0.7423,0.7301,0.7301
"vasicek",0.05,1000,0.05,0.4016,0.431,0.4214,0.4214
"vasicek",0.05,1000,0.1,0.2783,0.2991,0.2904,0.2904
"vasicek",0.05,1000,0.2,0.1859,0.2017,0.1965,0.1965
"vasicek",0.05,1000,0.25,0.1573,0.1711,0.1675,0.1675
"vasicek",0.05,2000,0.01,0.5961,0.6229,0.6128,0.6128
"vasicek",0.05,2000,0.05,0.2973,0.3176,0.3111,0.3111
"vasicek",0.05,2000,0.1,0.202,0.2154,0.2122,0.2122
"vasicek",0.05,2000,0.2,0.1318,0.1407,0.138,0.138
"vasicek",0.05,2000,0.25,0.1134,0.1218,0.1188,0.1188
"vasicek",0.05,5000,0.01,0.4207,0.4342,0.4281,0.4281
"vasicek",0.05,5000,0.05,0.1872,0.1947,0.1913,0.1913
"vasicek",0.05,5000,0.1,0.1324,0.1369,0.1356,0.1356
"vasicek",0.05,5000,0.2,0.0857,0.0889,0.087,0.087
"vasicek",0.05,5000,0.25,0.0718,0.0741,0.0736,0.0736
"vasicek",0.05,10000,0.01,0.3039,0.306,0.3029,0.3029
"vasicek",0.05,10000,0.05,0.143,0.1428,0.1415,0.1415
"vasicek",0.05,10000,0.1,0.1029,0.1042,0.1028,0.1028
"vasicek",0.05,10000,0.2,0.0639,0.0641,0.0633,0.0633
"vasicek",0.05,10000,0.25,0.0564,0.0562,0.0557,0.0557
